Commune,res.princ.2000,res.sec.2000,pop.2000,%res.sec.2000,res.sec/pop.2000,res.princ.1990,res.sec.1990,pop.1990,%res.sec.1990,res.sec/pop.1990
5557 Fontaines-sur-Grandson,52,12,131,0.1875,0.091603053,45,7,102,0.134615385,0.068627451
5558 Fontanezier,26,8,70,0.235294118,0.114285714,24,6,62,0.2,0.096774194
5559 Giez,133,20,356,0.130718954,0.056179775,119,13,329,0.098484848,0.039513678
5560 Grandevent,58,21,148,0.265822785,0.141891892,45,22,128,0.328358209,0.171875
5561 Grandson,1101,181,2672,0.141185647,0.067739521,978,130,2294,0.11732852,0.056669573
5562 Mauborget,37,51,85,0.579545455,0.6,32,55,80,0.632183908,0.6875
5563 Mutrux,41,18,124,0.305084746,0.14516129,44,11,124,0.2,0.088709677
5564 Novalles,33,2,100,0.057142857,0.02,33,4,90,0.108108108,0.044444444
5565 Onnens (VD),152,36,380,0.191489362,0.094736842,130,25,343,0.161290323,0.072886297
5566 Provence,127,38,339,0.23030303,0.112094395,124,28,317,0.184210526,0.088328076
5567 Romairon,16,3,44,0.157894737,0.068181818,14,2,37,0.125,0.054054054
5568 Sainte-Croix,1926,921,4157,0.323498419,0.221554005,2039,728,4397,0.263100831,0.165567432
5569 Vaugondry,15,2,33,0.117647059,0.060606061,15,2,29,0.117647059,0.068965517
5570 Villars-Burquin,192,48,479,0.2,0.100208768,134,75,341,0.358851675,0.219941349
5581 Belmont-sur-Lausanne,963,152,2332,0.13632287,0.065180103,848,82,2067,0.088172043,0.039671021
5582 Cheseaux-sur-Lausanne,1195,154,2895,0.114158636,0.053195164,1128,9,2806,0.007915567,0.003207413
5583 Crissier,2378,239,6149,0.091325946,0.038868109,2203,69,5229,0.030369718,0.01319564
5584 Epalinges,3106,362,7428,0.10438293,0.048734518,2812,99,6811,0.034008932,0.014535311
5585 Jouxtens-Mézery,376,40,1168,0.096153846,0.034246575,297,16,905,0.051118211,0.017679558
5586 Lausanne,61056,8327,114518,0.120014989,0.07271346,62859,3147,117487,0.047677484,0.026785942
5587 Le Mont-sur-Lausanne,1880,124,5098,0.061876248,0.024323264,1644,51,4579,0.030088496,0.011137803
5588 Paudex,611,58,1401,0.086696562,0.041399001,556,38,1260,0.063973064,0.03015873
5589 Prilly,5337,674,10442,0.112127766,0.064547022,5428,132,10720,0.023741007,0.012313433
5590 Pully,7348,900,16018,0.109117362,0.05618679,6970,513,15362,0.068555392,0.033394089
5591 Renens (VD),8015,944,16761,0.105368903,0.056321222,7993,264,17129,0.031972872,0.015412458
5592 Romanel-sur-Lausanne,1254,62,3084,0.047112462,0.020103761,1019,20,2579,0.019249278,0.007754944
5601 Chexbres,846,166,1984,0.164031621,0.083669355,766,93,1803,0.108265425,0.051580699
5602 Cully,783,173,1781,0.180962343,0.09713644,783,102,1797,0.115254237,0.056761269
5603 Epesses,125,39,322,0.237804878,0.121118012,140,20,330,0.125,0.060606061
5604 Forel (Lavaux),658,87,1670,0.116778523,0.052095808,547,68,1479,0.110569106,0.045977011
5605 Grandvaux,782,196,1929,0.200408998,0.10160705,714,87,1728,0.108614232,0.050347222
5606 Lutry,3420,544,8117,0.137235116,0.067019835,3054,308,7221,0.091612136,0.042653372
5607 Puidoux,896,175,2313,0.163398693,0.075659317,854,141,2080,0.141708543,0.067788462
5608 Riex,128,23,280,0.152317881,0.082142857,130,17,274,0.115646259,0.062043796
5609 Rivaz,135,31,328,0.186746988,0.094512195,142,23,333,0.139393939,0.069069069
5610 Saint-Saphorin (Lavaux),152,46,362,0.232323232,0.127071823,159,28,342,0.14973262,0.081871345
5611 Savigny,1135,167,3039,0.128264209,0.054952287,1029,91,2809,0.08125,0.03239587
5612 Villette (Lavaux),206,29,565,0.123404255,0.051327434,190,25,474,0.11627907,0.052742616
5621 Aclens,136,29,360,0.175757576,0.080555556,137,5,315,0.035211268,0.015873016
5622 Bremblens,135,9,330,0.0625,0.027272727,113,4,320,0.034188034,0.0125
5623 Buchillon,227,32,600,0.123552124,0.053333333,196,28,529,0.125,0.052930057
5624 Bussigny-près-Lausanne,2984,265,7317,0.081563558,0.036217029,2649,77,6613,0.028246515,0.011643732
5625 Bussy-Chardonney,112,9,296,0.074380165,0.030405405,101,5,267,0.047169811,0.018726592
5627 Chavannes-près-Renens,2603,221,5596,0.07825779,0.039492495,2551,53,5538,0.020353303,0.009570242
5628 Chigny,94,10,275,0.096153846,0.036363636,84,5,187,0.056179775,0.026737968
5629 Clarmont,65,11,131,0.144736842,0.083969466,49,1,126,0.02,0.007936508
5630 Colombier (VD),157,14,449,0.081871345,0.031180401,117,11,352,0.0859375,0.03125
5631 Denens,209,36,589,0.146938776,0.061120543,155,17,423,0.098837209,0.040189125
5632 Denges,433,79,1071,0.154296875,0.073762838,445,27,991,0.05720339,0.027245207
5633 Echandens,806,61,2080,0.070357555,0.029326923,768,29,2017,0.036386449,0.014377789
5634 Echichens,330,61,1018,0.15601023,0.059921415,295,35,844,0.106060606,0.041469194
5635 Ecublens (VD),4251,579,9667,0.119875776,0.059894486,4078,110,9295,0.026265521,0.01183432
5636 Etoy,767,160,2159,0.172599784,0.074108384,564,37,1537,0.06156406,0.024072869
5637 Lavigny,219,21,664,0.0875,0.031626506,223,8,637,0.034632035,0.01255887
5638 Lonay,763,126,1834,0.141732283,0.06870229,640,123,1454,0.161205767,0.084594223
5639 Lully (VD),226,25,673,0.099601594,0.037147103,189,9,554,0.045454545,0.016245487
5640 Lussy-sur-Morges,176,13,581,0.068783069,0.022375215,137,14,405,0.092715232,0.034567901
5641 Monnaz,107,9,276,0.077586207,0.032608696,79,10,203,0.112359551,0.049261084
5642 Morges,6478,716,13856,0.099527384,0.051674365,6223,345,13410,0.052527406,0.025727069
5643 Préverenges,1729,213,4105,0.109680742,0.051887942,1605,127,3771,0.073325635,0.033678069
5644 Reverolle,107,11,333,0.093220339,0.033033033,97,10,317,0.093457944,0.031545741
5645 Romanel-sur-Morges,162,11,415,0.063583815,0.026506024,139,5,403,0.034722222,0.012406948
5646 Saint-Prex,1753,230,4048,0.11598588,0.056818182,1497,144,3606,0.087751371,0.039933444
5647 Saint-Saphorin-sur-Morges,0,0,369,#DIV/0!,0,0,0,217,#DIV/0!,0
5648 Saint-Sulpice (VD),1291,119,2918,0.084397163,0.040781357,1126,141,2681,0.111286504,0.052592316
5649 Tolochenaz,676,111,1672,0.141041931,0.06638756,655,13,1608,0.019461078,0.008084577
5650 Vaux-sur-Morges,54,3,138,0.052631579,0.02173913,33,4,101,0.108108108,0.03960396
